,éûçè,K [ﬂC],WT [ﬂC],MG [ﬂC],SC [ﬂC],No5 [V],No6 [V],No7 [V],No8 [V],No9 [V],No10 [V],No11 [V],No12 [V]
2021/09/22,15:02:55,6.72,6.3,6.72,6.19,0,0,0,0,0,0,0,0
2021/09/22,15:03:00,6.7,6.3,6.72,6.19,0,0,0,0,0,0,0,0
2021/09/22,15:03:05,6.7,6.3,6.74,6.19,0,0,0,0,0,0,0,0
2021/09/22,15:03:10,6.7,6.28,6.72,6.19,0,0,0,0,0,0,0,0
2021/09/22,15:03:15,6.7,6.28,6.72,6.19,0,0,0,0,0,0,0,0
2021/09/22,15:03:20,6.7,6.28,6.71,6.19,0,0,0,0,0,0,0,0
2021/09/22,15:03:25,6.7,6.3,6.71,6.17,0,0,0,0,0,0,0,0
2021/09/22,15:03:30,6.69,6.28,6.72,6.19,0,0,0,0,0,0,0,0
2021/09/22,15:03:35,6.69,6.27,6.7,6.19,0,0,0,0,0,0,0,0
2021/09/22,15:03:40,6.69,6.27,6.7,6.19,0,0,0,0,0,0,0,0
2021/09/22,15:03:45,6.7,6.27,6.68,6.17,0,0,0,0,0,0,0,0
2021/09/22,15:03:50,6.69,6.27,6.7,6.16,0,0,0,0,0,0,0,0
2021/09/22,15:03:55,6.67,6.27,6.71,6.19,0,0,0,0,0,0,0,0
2021/09/22,15:04:00,6.69,6.26,6.68,6.17,0,0,0,0,0,0,0,0
2021/09/22,15:04:05,6.69,6.24,6.68,6.17,0,0,0,0,0,0,0,0
2021/09/22,15:04:10,6.79,6.26,6.67,6.16,0,0,0,0,0,0,0,0
2021/09/22,15:04:15,6.79,6.26,6.68,6.14,0,0,0,0,0,0,0,0
2021/09/22,15:04:20,6.78,6.24,6.68,6.16,0,0,0,0,0,0,0,0
2021/09/22,15:04:25,6.78,6.23,6.67,6.16,0,0,0,0,0,0,0,0
2021/09/22,15:04:30,6.79,6.23,6.67,6.14,0,0,0,0,0,0,0,0
2021/09/22,15:04:35,6.79,6.34,6.76,6.23,0,0,0,0,0,0,0,0
2021/09/22,15:04:40,6.79,6.34,6.77,6.23,0,0,0,0,0,0,0,0
2021/09/22,15:04:45,6.76,6.32,6.77,6.25,0,0,0,0,0,0,0,0
2021/09/22,15:04:50,6.78,6.32,6.76,6.23,0,0,0,0,0,0,0,0
2021/09/22,15:04:55,6.78,6.32,6.76,6.22,0,0,0,0,0,0,0,0
2021/09/22,15:05:00,6.78,6.32,6.74,6.2,0,0,0,0,0,0,0,0
2021/09/22,15:05:05,6.76,6.32,6.76,6.22,0,0,0,0,0,0,0,0
2021/09/22,15:05:10,6.76,6.3,6.76,6.22,0,0,0,0,0,0,0,0
2021/09/22,15:05:15,6.76,6.29,6.73,6.2,0,0,0,0,0,0,0,0
2021/09/22,15:05:20,6.76,6.29,6.73,6.2,0,0,0,0,0,0,0,0
2021/09/22,15:05:25,6.75,6.3,6.74,6.2,0,0,0,0,0,0,0,0
2021/09/22,15:05:30,6.76,6.29,6.73,6.2,0,0,0,0,0,0,0,0
2021/09/22,15:05:35,6.76,6.29,6.72,6.19,0,0,0,0,0,0,0,0
2021/09/22,15:05:40,6.76,6.29,6.72,6.19,0,0,0,0,0,0,0,0
2021/09/22,15:05:45,6.75,6.29,6.7,6.18,0,0,0,0,0,0,0,0
2021/09/22,15:05:50,6.75,6.29,6.72,6.16,0,0,0,0,0,0,0,0
2021/09/22,15:05:55,6.75,6.27,6.72,6.18,0,0,0,0,0,0,0,0
2021/09/22,15:06:00,6.75,6.27,6.7,6.18,0,0,0,0,0,0,0,0
2021/09/22,15:06:05,6.75,6.26,6.69,6.16,0,0,0,0,0,0,0,0
2021/09/22,15:06:10,6.75,6.26,6.69,6.14,0,0,0,0,0,0,0,0
2021/09/22,15:06:15,6.73,6.26,6.69,6.15,0,0,0,0,0,0,0,0
2021/09/22,15:06:20,6.84,6.25,6.69,6.15,0,0,0,0,0,0,0,0
2021/09/22,15:06:25,6.84,6.25,6.69,6.14,0,0,0,0,0,0,0,0
2021/09/22,15:06:30,6.84,6.23,6.67,6.14,0,0,0,0,0,0,0,0
2021/09/22,15:06:35,6.84,6.23,6.67,6.12,0,0,0,0,0,0,0,0
2021/09/22,15:06:40,6.84,6.23,6.67,6.12,0,0,0,0,0,0,0,0
2021/09/22,15:06:45,6.82,6.22,6.67,6.11,0,0,0,0,0,0,0,0
2021/09/22,15:06:50,6.82,6.22,6.66,6.11,0,0,0,0,0,0,0,0
2021/09/22,15:06:55,6.82,6.2,6.66,6.11,0,0,0,0,0,0,0,0
2021/09/22,15:07:00,6.82,6.19,6.65,6.09,0,0,0,0,0,0,0,0
2021/09/22,15:07:05,6.82,6.19,6.65,6.09,0,0,0,0,0,0,0,0
2021/09/22,15:07:10,6.81,6.19,6.65,6.09,0,0,0,0,0,0,0,0
2021/09/22,15:07:15,6.79,6.18,6.65,6.08,0,0,0,0,0,0,0,0
2021/09/22,15:07:20,6.79,6.18,6.63,6.08,0,0,0,0,0,0,0,0
2021/09/22,15:07:25,6.81,6.16,6.62,6.07,0,0,0,0,0,0,0,0
2021/09/22,15:07:30,6.79,6.16,6.62,6.05,0,0,0,0,0,0,0,0
2021/09/22,15:07:35,6.79,6.15,6.62,6.05,0,0,0,0,0,0,0,0
2021/09/22,15:07:40,6.78,6.15,6.61,6.05,0,0,0,0,0,0,0,0
2021/09/22,15:07:45,6.78,6.12,6.59,6.05,0,0,0,0,0,0,0,0
2021/09/22,15:07:50,6.78,6.12,6.58,6.03,0,0,0,0,0,0,0,0
2021/09/22,15:07:55,6.78,6.12,6.58,6.01,0,0,0,0,0,0,0,0
2021/09/22,15:08:00,6.77,6.11,6.58,6.01,0,0,0,0,0,0,0,0
2021/09/22,15:08:05,6.78,6.2,6.68,6.1,0,0,0,0,0,0,0,0
2021/09/22,15:08:10,6.77,6.2,6.65,6.1,0,0,0,0,0,0,0,0
2021/09/22,15:08:15,6.77,6.2,6.64,6.07,0,0,0,0,0,0,0,0
2021/09/22,15:08:20,6.75,6.2,6.64,6.07,0,0,0,0,0,0,0,0
2021/09/22,15:08:25,6.75,6.17,6.64,6.07,0,0,0,0,0,0,0,0
2021/09/22,15:08:30,6.75,6.17,6.62,6.04,0,0,0,0,0,0,0,0
